DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,1456.4,1516.2,1451.6,1453.35,1514,1508.45,1499.87,1516.2,1054,2008339,3012255935.25,92961,SBILIFE
2024-02-15,EQ,1464,1464.35,1443.65,1453.7,1458.9,1453.35,1452.16,1495.35,1054,736364,1069320106.55,56810,SBILIFE
2024-02-14,EQ,1460,1464,1439.05,1467.6,1453.15,1453.7,1449.99,1495.35,1054,504590,731652958.8,34583,SBILIFE
2024-02-13,EQ,1436,1475.85,1428.2,1436,1461.55,1467.6,1460.51,1495.35,1054,1388464,2027859377.6,91773,SBILIFE
2024-02-12,EQ,1442.45,1452,1423.25,1439.7,1437,1436,1435.02,1495.35,1054,515507,739761692.55,30497,SBILIFE
2024-02-09,EQ,1468,1468,1436.5,1459.05,1442,1439.7,1447.97,1495.35,1054,596482,863686110.15,46403,SBILIFE
2024-02-08,EQ,1481.9,1492.1,1455.15,1469.45,1457.3,1459.05,1471.22,1495.35,1054,1679065,2470268083.45,106488,SBILIFE
2024-02-07,EQ,1472.6,1493,1453.65,1464,1476.5,1469.45,1474.15,1495.35,1054,690402,1017753267.45,55628,SBILIFE
2024-02-06,EQ,1422.6,1469.95,1404.9,1419.85,1469,1464,1442.5,1495.35,1054,1515381,2185932496.95,90676,SBILIFE
2024-02-05,EQ,1435,1460,1414.9,1435.45,1419.25,1419.85,1423.22,1495.35,1054,1010779,1438558244.05,62955,SBILIFE
2024-02-02,EQ,1440.8,1456,1420.05,1432.75,1437.9,1435.45,1440.38,1495.35,1054,1817169,2617417655.15,75216,SBILIFE
2024-02-01,EQ,1407.3,1459.7,1398.5,1401.15,1433.9,1432.75,1435.39,1495.35,1054,1803699,2589005868.25,113348,SBILIFE
2024-01-31,EQ,1400,1406.5,1381.7,1399,1406,1401.15,1395.83,1495.35,1054,1343827,1875758802.5,67552,SBILIFE
2024-01-30,EQ,1425,1433.7,1392.85,1418.4,1397.35,1399,1407.16,1495.35,1054,1464906,2061363291.1,109750,SBILIFE
2024-01-29,EQ,1388,1424.6,1388,1380.9,1415.05,1418.4,1412.79,1495.35,1054,1607583,2271178112.4,110226,SBILIFE
2024-01-25,EQ,1414.9,1414.9,1357.15,1410.55,1387.5,1380.9,1376.71,1495.35,1054,3230297,4447174277.55,142421,SBILIFE
2024-01-24,EQ,1380.4,1413.9,1368.55,1375.5,1412.4,1410.55,1393.05,1495.35,1054,1255876,1749497243.95,57672,SBILIFE
2024-01-23,EQ,1444,1448.65,1367.35,1442.2,1375,1375.5,1392.11,1495.35,1054,2880301,4009705996.7,169402,SBILIFE
2024-01-20,EQ,1448.9,1454.35,1431.6,1440.6,1443.65,1442.2,1440.22,1495.35,1054,463302,667255964.65,26683,SBILIFE
2024-01-19,EQ,1405.9,1445,1405.4,1404.9,1441,1440.6,1432.19,1495.35,1054,570639,817261363.2,43236,SBILIFE
2024-01-18,EQ,1416.9,1438,1384.2,1421.15,1405.9,1404.9,1414.1,1495.35,1054,2296538,3247540302.9,96149,SBILIFE
2024-01-17,EQ,1397,1444.95,1386.55,1408.8,1421,1421.15,1419.32,1495.35,1054,2628568,3730791075.45,132098,SBILIFE
2024-01-16,EQ,1425.05,1431.9,1405.55,1430.05,1409,1408.8,1417.15,1495.35,1054,1729041,2450311805.1,78518,SBILIFE
2024-01-15,EQ,1442,1444.55,1424.55,1435.3,1430.25,1430.05,1430.36,1495.35,1054,902104,1290330075.65,94912,SBILIFE
2024-01-12,EQ,1434.8,1440.9,1418.5,1427.8,1439.4,1435.3,1428.67,1495.35,1054,557158,795993552.15,45061,SBILIFE
2024-01-11,EQ,1450.05,1463.3,1425.9,1451.45,1430,1427.8,1436.93,1495.35,1054,908421,1305340925.6,43751,SBILIFE
