DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,2952.95,2954,2917.1,2941.2,2925,2921.15,2932.13,2969.45,2220.3,4883749,14319775078.35,170212,RELIANCE
2024-02-15,EQ,2966.7,2969.45,2933.05,2962.75,2944.5,2941.2,2946.03,2969.45,2220.3,5003391,14740128065.85,236768,RELIANCE
2024-02-14,EQ,2915,2967.3,2915,2930.2,2963.6,2962.75,2943.59,2967.3,2220.3,3558944,10476084977.75,200869,RELIANCE
2024-02-13,EQ,2911,2958,2908,2904.7,2926.2,2930.2,2934.72,2958,2220.3,3857797,11321554002.65,178755,RELIANCE
2024-02-12,EQ,2921.5,2922,2884.7,2921.5,2904,2904.7,2900.64,2949.8,2220.3,3337215,9680050427.5,170350,RELIANCE
2024-02-09,EQ,2908,2943.95,2901.9,2900.25,2917.3,2921.5,2924.38,2949.8,2220.3,6278399,18360429342.9,248252,RELIANCE
2024-02-08,EQ,2900,2918.95,2855.05,2884.3,2916,2900.25,2882.9,2949.8,2220.3,7347317,21181603384.9,320055,RELIANCE
2024-02-07,EQ,2871.85,2899,2858.5,2855.6,2885,2884.3,2876.04,2949.8,2220.3,4648284,13368650630.75,228951,RELIANCE
2024-02-06,EQ,2883.7,2883.7,2839.65,2878.05,2854.75,2855.6,2859.49,2949.8,2220.3,4523992,12936328247.7,240512,RELIANCE
2024-02-05,EQ,2921.5,2941,2863.05,2915.4,2879.45,2878.05,2907.3,2949.8,2220.3,4407216,12813104310.25,197343,RELIANCE
2024-02-02,EQ,2866.35,2949.8,2866.35,2853.3,2913,2915.4,2913.44,2949.8,2220.3,9826294,28628319858.85,420949,RELIANCE
2024-02-01,EQ,2870,2886.7,2836.1,2853.25,2851.5,2853.3,2857.88,2919.95,2220.3,6674681,19075409129.85,259110,RELIANCE
2024-01-31,EQ,2808,2868.5,2805,2815.25,2850,2853.25,2847.99,2919.95,2220.3,7565113,21545402809,343623,RELIANCE
2024-01-30,EQ,2919.9,2919.95,2808.85,2896.1,2818.25,2815.25,2854.34,2919.95,2220.3,7046989,20114536190.8,314728,RELIANCE
2024-01-29,EQ,2729,2905,2720.35,2706.15,2890.1,2896.1,2842.26,2905,2220.3,11946719,33955652629.4,464414,RELIANCE
2024-01-25,EQ,2685.9,2728.3,2670.4,2687.75,2711,2706.15,2697.07,2792.9,2220.3,5904436,15924681035.8,199408,RELIANCE
2024-01-24,EQ,2670.45,2699,2647.85,2657.15,2694.9,2687.75,2664.32,2792.9,2220.3,10959564,29199812068.1,253093,RELIANCE
2024-01-23,EQ,2743.5,2743.5,2645.1,2713.3,2656.75,2657.15,2674.9,2792.9,2220.3,10027710,26823081585.3,337484,RELIANCE
2024-01-20,EQ,2730,2766.95,2700,2734.9,2716,2713.3,2734.2,2792.9,2220.3,3641697,9957110928.55,128579,RELIANCE
2024-01-19,EQ,2752,2752,2718,2735.9,2736.45,2734.9,2732.29,2792.9,2220.3,5211352,14238941782.6,275902,RELIANCE
2024-01-18,EQ,2702.8,2742,2702.5,2723.15,2734.75,2735.9,2724.93,2792.9,2220.3,5139719,14005371079.55,253448,RELIANCE
2024-01-17,EQ,2719,2772.55,2710.05,2749.25,2723.5,2723.15,2738.75,2792.9,2220.3,6098691,16702784157.5,312203,RELIANCE
2024-01-16,EQ,2779.95,2792.6,2741,2788.25,2746.8,2749.25,2770.68,2792.9,2220.3,4534512,12563673259.4,235619,RELIANCE
2024-01-15,EQ,2750,2792.9,2732,2741.45,2786,2788.25,2768.73,2792.9,2220.3,4305297,11920219926.15,237252,RELIANCE
2024-01-12,EQ,2719.8,2746.65,2691.5,2719.8,2740.5,2741.45,2729.49,2746.65,2220.3,7506082,20487745085.4,434055,RELIANCE
2024-01-11,EQ,2659,2725,2657,2650.1,2716,2719.8,2695.73,2725,2220.3,11862926,31979289599.9,581952,RELIANCE
2024-01-10,EQ,2577,2659,2575.05,2580.5,2655,2650.1,2616.79,2659,2220.3,5551370,14526742701.55,179441,RELIANCE
2024-01-09,EQ,2600,2606.8,2577.2,2587.35,2580.5,2580.5,2592.44,2634,2220.3,2701537,7003571441.95,130706,RELIANCE
2024-01-08,EQ,2610,2631.95,2568.95,2607.7,2586,2587.35,2600.55,2634,2220.3,3867326,10057168474.15,171169,RELIANCE
2024-01-05,EQ,2602.9,2619.85,2598,2596.65,2609,2607.7,2606.82,2634,2220.3,4043203,10539886698.05,211413,RELIANCE
2024-01-04,EQ,2588,2609.85,2579.1,2583.3,2600,2596.65,2597.37,2634,2220.3,4806389,12483971502.55,267185,RELIANCE
2024-01-03,EQ,2610,2634,2577.2,2611.7,2580.75,2583.3,2606.46,2634,2220.3,4518768,11778006447.25,198303,RELIANCE
2024-01-02,EQ,2585,2615,2573,2590.25,2609,2611.7,2596.75,2630.95,2220.3,3724400,9671331567.5,175872,RELIANCE
2024-01-01,EQ,2580.55,2606.85,2573.15,2584.95,2588.45,2590.25,2588.14,2630.95,2220.3,2015270,5215808110.05,115559,RELIANCE
