DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,1515,1522,1504.85,1509.9,1507.55,1509.95,1511.95,1555.1,922.45,3480879,5262902002.05,116957,SUNPHARMA
2024-02-15,EQ,1529.05,1529.05,1505.55,1520.4,1507,1509.9,1510.97,1555.1,922.45,2161691,3266247256.6,81768,SUNPHARMA
2024-02-14,EQ,1545.8,1545.8,1508.05,1542.2,1527.85,1520.4,1520.26,1555.1,922.45,2105672,3201166933.95,86677,SUNPHARMA
2024-02-13,EQ,1537.5,1551,1525.45,1534.45,1543.95,1542.2,1541.6,1555.1,922.45,4687838,7226750567.3,117083,SUNPHARMA
2024-02-12,EQ,1539.85,1555.1,1521.1,1534.8,1531.9,1534.45,1538.75,1555.1,922.45,4059288,6246236070.25,107401,SUNPHARMA
2024-02-09,EQ,1500.9,1539,1492.25,1499.6,1532.8,1534.8,1523.72,1539,922.45,6343881,9666267109.6,154927,SUNPHARMA
2024-02-08,EQ,1501.05,1507.5,1485.35,1496.2,1497.9,1499.6,1497.93,1507.5,922.45,2213750,3316050608.9,138036,SUNPHARMA
2024-02-07,EQ,1483,1500.45,1480.4,1475.1,1498,1496.2,1493.32,1500.45,922.45,2259235,3373762310.7,172151,SUNPHARMA
2024-02-06,EQ,1450,1478,1446.55,1463.8,1472.1,1475.1,1469.09,1478,922.45,1893995,2782441117.75,140229,SUNPHARMA
2024-02-05,EQ,1426.8,1466,1423.6,1416.65,1460,1463.8,1455.03,1466,922.45,3481964,5066357228.35,130488,SUNPHARMA
2024-02-02,EQ,1409,1433.85,1405.15,1407.95,1422.55,1416.65,1418.44,1438.9,922.45,1775449,2518374199.1,138476,SUNPHARMA
2024-02-01,EQ,1427,1430.45,1398.9,1418.45,1407.65,1407.95,1413.59,1438.9,922.45,2442481,3452670391.3,165535,SUNPHARMA
2024-01-31,EQ,1371.7,1438.9,1366.9,1371.75,1415,1418.45,1416.66,1438.9,922.45,5796356,8211437492,212655,SUNPHARMA
2024-01-30,EQ,1401.9,1409.2,1369.15,1400.85,1375,1371.75,1381.81,1420.85,922.45,1935332,2674264243.65,103392,SUNPHARMA
2024-01-29,EQ,1365,1420.85,1355.2,1368.3,1397.05,1400.85,1405.51,1420.85,922.45,3413149,4797198118.55,130073,SUNPHARMA
2024-01-25,EQ,1383.55,1390.1,1348.5,1382.1,1366.6,1368.3,1365.03,1394.6,922.45,1870910,2553855496.45,114696,SUNPHARMA
2024-01-24,EQ,1380,1390,1360.35,1378.3,1388.9,1382.1,1379.25,1394.6,922.45,1719845,2372101167.6,148602,SUNPHARMA
2024-01-23,EQ,1316,1394.6,1316,1326.15,1379.75,1378.3,1373.21,1394.6,922.45,4129729,5670980431.15,228743,SUNPHARMA
2024-01-20,EQ,1339,1346.35,1324.25,1335.6,1327.85,1326.15,1332.75,1346.35,922.45,284105,378640648.6,20468,SUNPHARMA
2024-01-19,EQ,1340,1344.4,1329.15,1335.75,1335,1335.6,1335.53,1344.4,922.45,1605745,2144512852,142358,SUNPHARMA
2024-01-18,EQ,1298.95,1343.4,1290,1299,1337,1335.75,1323.59,1343.4,922.45,2842572,3762388482.5,150768,SUNPHARMA
2024-01-17,EQ,1312,1320.45,1294.35,1313.45,1298,1299,1299.42,1340,922.45,2544642,3306551008.75,108076,SUNPHARMA
2024-01-16,EQ,1330.05,1331.55,1307.55,1329.35,1313.1,1313.45,1314.79,1340,922.45,824502,1084049208.85,71790,SUNPHARMA
2024-01-15,EQ,1329.2,1340,1321.6,1325.95,1330.55,1329.35,1332.09,1340,922.45,1475983,1966137018.55,72046,SUNPHARMA
2024-01-12,EQ,1319,1330,1305.55,1316.25,1329.25,1325.95,1321.5,1333.5,922.45,1538242,2032786521.55,112881,SUNPHARMA
2024-01-11,EQ,1328,1331.9,1310.2,1324.85,1310.55,1316.25,1320.43,1333.5,922.45,1320281,1743338363.65,94383,SUNPHARMA
2024-01-10,EQ,1330.05,1333.5,1313.15,1324,1324.9,1324.85,1321.18,1333.5,922.45,1278475,1689099155.3,84664,SUNPHARMA
2024-01-09,EQ,1314.95,1333.45,1306.85,1305.3,1324.95,1324,1322.86,1333.45,922.45,1712486,2265378028.95,76973,SUNPHARMA
2024-01-08,EQ,1305.4,1309.95,1299.3,1300.2,1307,1305.3,1303.79,1328.5,922.45,1678133,2187939140.2,129192,SUNPHARMA
2024-01-05,EQ,1318,1318,1287,1312.95,1302,1300.2,1295.13,1328.5,922.45,2960339,3834020051.65,126914,SUNPHARMA
2024-01-04,EQ,1304,1328.5,1297.05,1298.6,1310,1312.95,1316.97,1328.5,922.45,2851729,3755637988.7,171484,SUNPHARMA
2024-01-03,EQ,1296.2,1304.65,1291.15,1296.2,1299,1298.6,1298.5,1304.65,922.45,1699057,2206220757.15,197775,SUNPHARMA
2024-01-02,EQ,1261,1299,1257.15,1260.25,1295.15,1296.2,1289.19,1299,922.45,3174447,4092469314.75,230963,SUNPHARMA
2024-01-01,EQ,1261,1263.95,1252.5,1259.45,1260.05,1260.25,1258.17,1271.95,922.45,733452,922806686.1,124371,SUNPHARMA
2023-12-29,EQ,1262.1,1271.95,1252.55,1262.15,1260.05,1259.45,1259.28,1271.95,922.45,1840160,2317280899.5,194745,SUNPHARMA
2023-12-28,EQ,1254.95,1264.65,1249.55,1252.45,1262.8,1262.15,1258.81,1267.95,922.45,2043365,2572211499.3,186763,SUNPHARMA
2023-12-27,EQ,1250,1255.4,1241.25,1247.5,1253,1252.45,1249.16,1267.95,922.45,2005268,2504904711,159880,SUNPHARMA
