DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,1056.45,1065,1045.55,1052,1059.7,1061.6,1057.21,1250,631.5,3787369,4004043785.25,60758,ADANIENSOL
2024-02-15,EQ,1054.7,1066.95,1042.5,1036.95,1050,1052,1051.71,1250,631.5,3334357,3506786120.7,59817,ADANIENSOL
2024-02-14,EQ,1027.05,1064.95,1025,1044.8,1038,1036.95,1050.21,1250,631.5,3245478,3408428834.35,69023,ADANIENSOL
2024-02-13,EQ,1078.7,1078.7,1028,1069.45,1045,1044.8,1044.35,1250,631.5,3427849,3579861323.85,80889,ADANIENSOL
2024-02-12,EQ,1059,1096.2,1045.75,1054.7,1068.1,1069.45,1069.72,1250,631.5,3927219,4201022830.2,106739,ADANIENSOL
2024-02-09,EQ,1051.9,1077.15,1037.5,1049.9,1054.05,1054.7,1054.99,1319.25,631.5,2739850,2890513585.2,68392,ADANIENSOL
2024-02-08,EQ,1074.8,1078.8,1045,1065.85,1047,1049.9,1055.91,1319.25,631.5,2293556,2421780695.1,55785,ADANIENSOL
2024-02-07,EQ,1038.6,1113.95,1029.75,1029,1068,1065.85,1076.3,1319.25,631.5,4195919,4516083348.05,135868,ADANIENSOL
2024-02-06,EQ,1033,1054,1001.2,1022.6,1032,1029,1033.64,1319.25,631.5,1134575,1172745085.6,44694,ADANIENSOL
2024-02-05,EQ,1051.05,1059,1016,1052.05,1023.7,1022.6,1038.26,1319.25,631.5,1194592,1240298410.75,54686,ADANIENSOL
2024-02-02,EQ,1073.7,1094.35,1046,1067.7,1053,1052.05,1072.41,1860,631.5,1391014,1491731233.55,49776,ADANIENSOL
2024-02-01,EQ,1073,1088,1052.95,1067.85,1070.8,1067.7,1067.17,1860,631.5,1320318,1409005102,54182,ADANIENSOL
2024-01-31,EQ,1072.95,1081.9,1062.6,1072.7,1070,1067.85,1071.62,1860,631.5,793833,850689395.5,29218,ADANIENSOL
2024-01-30,EQ,1096,1096,1064,1098.05,1073,1072.7,1076.15,1860,631.5,1393051,1499134174.5,51725,ADANIENSOL
2024-01-29,EQ,1085,1136,1074.8,1061.8,1099,1098.05,1107.58,1860,631.5,3298520,3653364181.45,117860,ADANIENSOL
2024-01-25,EQ,1041.85,1077,1038,1036.25,1065.5,1061.8,1059.91,2799.95,631.5,1505572,1595775842.3,57710,ADANIENSOL
2024-01-24,EQ,1059.65,1059.65,1028.5,1056.15,1038.9,1036.25,1037.05,2799.95,631.5,5163858,5355188472.4,95975,ADANIENSOL
2024-01-23,EQ,1138,1145.65,1050,1129.05,1057.5,1056.15,1087.07,2799.95,631.5,2133688,2319477891.9,91505,ADANIENSOL
2024-01-20,EQ,1055,1150,1045.4,1050.55,1124,1129.05,1107.11,2799.95,631.5,1689974,1870988198.85,65614,ADANIENSOL
2024-01-19,EQ,1070.9,1083.55,1041.05,1065.5,1052,1050.55,1054.52,2799.95,631.5,1485408,1566392571.95,60093,ADANIENSOL
2024-01-18,EQ,1087,1097.9,1040.6,1087.15,1066.15,1065.5,1066.72,2799.95,631.5,1168724,1246705620.35,58373,ADANIENSOL
2024-01-17,EQ,1124.95,1128.75,1082.45,1126.35,1088,1087.15,1097.64,2799.95,631.5,1456313,1598512174.5,72307,ADANIENSOL
2024-01-16,EQ,1148,1148,1118.95,1148,1124.95,1126.35,1129.9,2799.95,631.5,3851854,4352206298.6,69529,ADANIENSOL
2024-01-15,EQ,1158.4,1164.65,1127.05,1152.2,1145,1148,1137.86,2799.95,631.5,3399085,3867668527.35,79836,ADANIENSOL
2024-01-12,EQ,1167,1174.45,1150.1,1159.7,1151.55,1152.2,1160.75,2799.95,631.5,729133,846338207.15,30675,ADANIENSOL
2024-01-11,EQ,1179.7,1184,1154.75,1170.3,1163,1159.7,1167.59,2799.95,631.5,689920,805546861.45,28063,ADANIENSOL
2024-01-10,EQ,1171,1184,1156.65,1164.1,1171.85,1170.3,1173.04,2799.95,631.5,1302889,1528346433.95,48471,ADANIENSOL
2024-01-09,EQ,1151,1199,1145,1143.5,1164.9,1164.1,1174.54,2799.95,631.5,1347686,1582916169.55,43330,ADANIENSOL
2024-01-08,EQ,1170.85,1172.35,1140,1164,1144,1143.5,1150.87,2799.95,631.5,896113,1031313637.95,31188,ADANIENSOL
2024-01-05,EQ,1180,1186.85,1155.45,1179.8,1163,1164,1169.29,2799.95,631.5,1343094,1570472922.3,41790,ADANIENSOL
2024-01-04,EQ,1210,1219.7,1150,1183.2,1177,1179.8,1189.68,2799.95,631.5,2693790,3204749577.35,79490,ADANIENSOL
2024-01-03,EQ,1150,1250,1072,1062.45,1184,1183.2,1183.1,2799.95,631.5,13493682,15964335194.95,318761,ADANIENSOL
2024-01-02,EQ,1060,1072,1034,1055.05,1058,1062.45,1054.85,2799.95,631.5,2716805,2865817805.35,37281,ADANIENSOL
2024-01-01,EQ,1040,1073,1036.05,1045.75,1053.5,1055.05,1055.49,2799.95,631.5,676574,714117206.85,22207,ADANIENSOL
2023-12-29,EQ,1037,1058,1018.2,1022.55,1043.1,1045.75,1045.7,2799.95,631.5,2752398,2878183300.4,34774,ADANIENSOL
2023-12-28,EQ,1063,1073.35,1011.55,1058.7,1025.8,1022.55,1045.19,2799.95,631.5,2617618,2735918270.45,48389,ADANIENSOL
2023-12-27,EQ,1070,1083,1047.2,1041.6,1059.95,1058.7,1056.69,2799.95,631.5,2801997,2960852334.6,40220,ADANIENSOL
2023-12-26,EQ,1035.5,1047.85,1011.9,1027.9,1043,1041.6,1040.98,2799.95,631.5,2391693,2489698872.6,33605,ADANIENSOL
2023-12-22,EQ,1040,1044.8,1026,1026.55,1029,1027.9,1033.55,2799.95,631.5,2494643,2578344549.5,34585,ADANIENSOL
2023-12-21,EQ,984.95,1038.35,981,998.9,1033,1026.55,1016.18,2799.95,631.5,1449502,1472951286.65,44386,ADANIENSOL
2023-12-20,EQ,1078.2,1128,993.8,1076.2,1000,998.9,1057.64,2799.95,631.5,4060611,4294667355.9,97893,ADANIENSOL
2023-12-19,EQ,1051,1088.7,1031.15,1043.05,1078,1076.2,1068.28,2799.95,631.5,3356750,3585963379.6,63626,ADANIENSOL
2023-12-18,EQ,1060,1062,1031.75,1047.25,1047,1043.05,1052.96,2799.95,631.5,3042841,3204001023.55,44466,ADANIENSOL
2023-12-15,EQ,1089.85,1091.9,1036,1074.75,1046,1047.25,1071.42,2799.95,631.5,3821111,4094001929.2,66668,ADANIENSOL
2023-12-14,EQ,1041,1094.95,1035.85,1030.9,1077,1074.75,1068.94,2799.95,631.5,3933857,4205075647.1,77132,ADANIENSOL
2023-12-13,EQ,1093.95,1095.9,1008.1,1089.15,1032,1030.9,1036.86,2799.95,631.5,2756868,2858493867,89433,ADANIENSOL
2023-12-12,EQ,1132,1135.65,1085,1129.95,1088.15,1089.15,1103.02,2799.95,631.5,3107531,3427675313.35,79486,ADANIENSOL
